;activity_index;type;from_event;to_event;lower_bound;upper_bound;passengers
0;1;drive;1;2;2.0;2.0;60
1;2;wait;2;3;1.0;3.0;15
2;3;drive;3;4;5.0;5.0;205
3;4;wait;4;5;1.0;3.0;25
4;5;drive;5;6;5.0;5.0;845
5;6;wait;6;7;1.0;3.0;210
6;7;drive;7;8;8.0;8.0;1545
7;8;wait;8;9;1.0;3.0;1035
8;9;drive;9;10;2.0;2.0;1135
9;10;drive;11;12;2.0;2.0;1135
10;11;wait;12;13;1.0;3.0;1035
11;12;drive;13;14;8.0;8.0;1545
12;13;wait;14;15;1.0;3.0;210
13;14;drive;15;16;5.0;5.0;845
14;15;wait;16;17;1.0;3.0;25
15;16;drive;17;18;5.0;5.0;205
16;17;wait;18;19;1.0;3.0;15
17;18;drive;19;20;2.0;2.0;60
18;19;drive;21;22;10.0;10.0;405
19;20;wait;22;23;1.0;3.0;260
20;21;drive;23;24;5.0;5.0;320
21;22;wait;24;25;1.0;3.0;60
22;23;drive;25;26;8.0;8.0;440
23;24;wait;26;27;1.0;3.0;440
24;25;drive;27;28;2.0;2.0;525
25;26;wait;28;29;1.0;3.0;525
26;27;drive;29;30;4.0;4.0;795
27;28;sync;21;31;30.0;30.0;0
28;29;drive;31;32;10.0;10.0;0
29;30;wait;32;33;1.0;3.0;0
30;31;sync;23;33;30.0;30.0;0
31;32;drive;33;34;5.0;5.0;0
32;33;wait;34;35;1.0;3.0;0
33;34;sync;25;35;30.0;30.0;0
34;35;drive;35;36;8.0;8.0;0
35;36;wait;36;37;1.0;3.0;0
36;37;sync;27;37;30.0;30.0;0
37;38;drive;37;38;2.0;2.0;0
38;39;wait;38;39;1.0;3.0;0
39;40;sync;29;39;30.0;30.0;0
40;41;drive;39;40;4.0;4.0;0
41;42;drive;41;42;4.0;4.0;795
42;43;wait;42;43;1.0;3.0;525
43;44;drive;43;44;2.0;2.0;525
44;45;wait;44;45;1.0;3.0;440
45;46;drive;45;46;8.0;8.0;440
46;47;wait;46;47;1.0;3.0;60
47;48;drive;47;48;5.0;5.0;320
48;49;wait;48;49;1.0;3.0;260
49;50;drive;49;50;10.0;10.0;405
50;51;sync;41;51;30.0;30.0;0
51;52;drive;51;52;4.0;4.0;0
52;53;wait;52;53;1.0;3.0;0
53;54;sync;43;53;30.0;30.0;0
54;55;drive;53;54;2.0;2.0;0
55;56;wait;54;55;1.0;3.0;0
56;57;sync;45;55;30.0;30.0;0
57;58;drive;55;56;8.0;8.0;0
58;59;wait;56;57;1.0;3.0;0
59;60;sync;47;57;30.0;30.0;0
60;61;drive;57;58;5.0;5.0;0
61;62;wait;58;59;1.0;3.0;0
62;63;sync;49;59;30.0;30.0;0
63;64;drive;59;60;10.0;10.0;0
64;65;drive;61;62;8.0;8.0;235
65;66;wait;62;63;1.0;3.0;5
66;67;drive;63;64;7.0;7.0;630
67;68;wait;64;65;1.0;3.0;0
68;69;drive;65;66;2.0;2.0;395
69;70;wait;66;67;1.0;3.0;0
70;71;drive;67;68;3.0;3.0;120
71;72;wait;68;69;1.0;3.0;0
72;73;drive;69;70;2.0;2.0;0
73;74;drive;71;72;2.0;2.0;0
74;75;wait;72;73;1.0;3.0;0
75;76;drive;73;74;3.0;3.0;220
76;77;wait;74;75;1.0;3.0;0
77;78;drive;75;76;2.0;2.0;495
78;79;wait;76;77;1.0;3.0;0
79;80;drive;77;78;7.0;7.0;630
80;81;wait;78;79;1.0;3.0;5
81;82;drive;79;80;8.0;8.0;235
82;83;drive;81;82;10.0;10.0;580
83;84;wait;82;83;1.0;3.0;10
84;85;drive;83;84;7.0;7.0;10
85;86;wait;84;85;1.0;3.0;0
86;87;drive;85;86;2.0;2.0;240
87;88;wait;86;87;1.0;3.0;0
88;89;drive;87;88;3.0;3.0;175
89;90;wait;88;89;1.0;3.0;0
90;91;drive;89;90;2.0;2.0;0
91;92;sync;81;91;30.0;30.0;0
92;93;drive;91;92;10.0;10.0;0
93;94;wait;92;93;1.0;3.0;0
94;95;sync;83;93;30.0;30.0;0
95;96;drive;93;94;7.0;7.0;0
96;97;wait;94;95;1.0;3.0;0
97;98;sync;85;95;30.0;30.0;0
98;99;drive;95;96;2.0;2.0;0
99;100;wait;96;97;1.0;3.0;0
100;101;sync;87;97;30.0;30.0;0
101;102;drive;97;98;3.0;3.0;0
102;103;wait;98;99;1.0;3.0;0
103;104;sync;89;99;30.0;30.0;0
104;105;drive;99;100;2.0;2.0;0
105;106;drive;101;102;2.0;2.0;0
106;107;wait;102;103;1.0;3.0;0
107;108;drive;103;104;3.0;3.0;75
108;109;wait;104;105;1.0;3.0;0
109;110;drive;105;106;2.0;2.0;140
110;111;wait;106;107;1.0;3.0;0
111;112;drive;107;108;7.0;7.0;10
112;113;wait;108;109;1.0;3.0;10
113;114;drive;109;110;10.0;10.0;580
114;115;sync;101;111;30.0;30.0;0
115;116;drive;111;112;2.0;2.0;0
116;117;wait;112;113;1.0;3.0;0
117;118;sync;103;113;30.0;30.0;0
118;119;drive;113;114;3.0;3.0;0
119;120;wait;114;115;1.0;3.0;0
120;121;sync;105;115;30.0;30.0;0
121;122;drive;115;116;2.0;2.0;0
122;123;wait;116;117;1.0;3.0;0
123;124;sync;107;117;30.0;30.0;0
124;125;drive;117;118;7.0;7.0;0
125;126;wait;118;119;1.0;3.0;0
126;127;sync;109;119;30.0;30.0;0
127;128;drive;119;120;10.0;10.0;0
128;129;drive;121;122;8.0;8.0;310
129;130;wait;122;123;1.0;3.0;0
130;131;drive;123;124;3.0;3.0;255
131;132;wait;124;125;1.0;3.0;255
132;133;drive;125;126;3.0;3.0;895
133;134;wait;126;127;1.0;3.0;590
134;135;drive;127;128;2.0;2.0;950
135;136;wait;128;129;1.0;3.0;485
136;137;drive;129;130;8.0;8.0;965
137;138;drive;131;132;8.0;8.0;965
138;139;wait;132;133;1.0;3.0;485
139;140;drive;133;134;2.0;2.0;950
140;141;wait;134;135;1.0;3.0;590
141;142;drive;135;136;3.0;3.0;895
142;143;wait;136;137;1.0;3.0;255
143;144;drive;137;138;3.0;3.0;255
144;145;wait;138;139;1.0;3.0;0
145;146;drive;139;140;8.0;8.0;310
146;147;drive;141;142;2.0;2.0;85
147;148;wait;142;143;1.0;3.0;0
148;149;drive;143;144;2.0;2.0;0
149;150;wait;144;145;1.0;3.0;0
150;151;drive;145;146;4.0;4.0;0
151;152;wait;146;147;1.0;3.0;0
152;153;drive;147;148;3.0;3.0;280
153;154;wait;148;149;1.0;3.0;85
154;155;drive;149;150;8.0;8.0;85
155;156;drive;151;152;8.0;8.0;85
156;157;wait;152;153;1.0;3.0;85
157;158;drive;153;154;3.0;3.0;280
158;159;wait;154;155;1.0;3.0;0
159;160;drive;155;156;4.0;4.0;0
160;161;wait;156;157;1.0;3.0;0
161;162;drive;157;158;2.0;2.0;0
162;163;wait;158;159;1.0;3.0;0
163;164;drive;159;160;2.0;2.0;85
164;165;drive;161;162;8.0;8.0;400
165;166;wait;162;163;1.0;3.0;400
166;167;drive;163;164;2.0;2.0;655
167;168;wait;164;165;1.0;3.0;655
168;169;drive;165;166;3.0;3.0;655
169;170;wait;166;167;1.0;3.0;505
170;171;drive;167;168;2.0;2.0;505
171;172;wait;168;169;1.0;3.0;270
172;173;drive;169;170;8.0;8.0;270
173;174;sync;161;171;20.0;20.0;0
174;175;drive;171;172;8.0;8.0;0
175;176;wait;172;173;1.0;3.0;0
176;177;sync;163;173;20.0;20.0;0
177;178;drive;173;174;2.0;2.0;0
178;179;wait;174;175;1.0;3.0;0
179;180;sync;165;175;20.0;20.0;0
180;181;drive;175;176;3.0;3.0;0
181;182;wait;176;177;1.0;3.0;0
182;183;sync;167;177;20.0;20.0;0
183;184;drive;177;178;2.0;2.0;0
184;185;wait;178;179;1.0;3.0;0
185;186;sync;169;179;20.0;20.0;0
186;187;drive;179;180;8.0;8.0;0
187;188;sync;171;181;20.0;20.0;0
188;189;drive;181;182;8.0;8.0;0
189;190;wait;182;183;1.0;3.0;0
190;191;sync;173;183;20.0;20.0;0
191;192;drive;183;184;2.0;2.0;0
192;193;wait;184;185;1.0;3.0;0
193;194;sync;175;185;20.0;20.0;0
194;195;drive;185;186;3.0;3.0;0
195;196;wait;186;187;1.0;3.0;0
196;197;sync;177;187;20.0;20.0;0
197;198;drive;187;188;2.0;2.0;0
198;199;wait;188;189;1.0;3.0;0
199;200;sync;179;189;20.0;20.0;0
200;201;drive;189;190;8.0;8.0;0
201;202;drive;191;192;8.0;8.0;270
202;203;wait;192;193;1.0;3.0;270
203;204;drive;193;194;2.0;2.0;505
204;205;wait;194;195;1.0;3.0;505
205;206;drive;195;196;3.0;3.0;655
206;207;wait;196;197;1.0;3.0;655
207;208;drive;197;198;2.0;2.0;655
208;209;wait;198;199;1.0;3.0;400
209;210;drive;199;200;8.0;8.0;400
210;211;sync;191;201;20.0;20.0;0
211;212;drive;201;202;8.0;8.0;0
212;213;wait;202;203;1.0;3.0;0
213;214;sync;193;203;20.0;20.0;0
214;215;drive;203;204;2.0;2.0;0
215;216;wait;204;205;1.0;3.0;0
216;217;sync;195;205;20.0;20.0;0
217;218;drive;205;206;3.0;3.0;0
218;219;wait;206;207;1.0;3.0;0
219;220;sync;197;207;20.0;20.0;0
220;221;drive;207;208;2.0;2.0;0
221;222;wait;208;209;1.0;3.0;0
222;223;sync;199;209;20.0;20.0;0
223;224;drive;209;210;8.0;8.0;0
224;225;sync;201;211;20.0;20.0;0
225;226;drive;211;212;8.0;8.0;0
226;227;wait;212;213;1.0;3.0;0
227;228;sync;203;213;20.0;20.0;0
228;229;drive;213;214;2.0;2.0;0
229;230;wait;214;215;1.0;3.0;0
230;231;sync;205;215;20.0;20.0;0
231;232;drive;215;216;3.0;3.0;0
232;233;wait;216;217;1.0;3.0;0
233;234;sync;207;217;20.0;20.0;0
234;235;drive;217;218;2.0;2.0;0
235;236;wait;218;219;1.0;3.0;0
236;237;sync;209;219;20.0;20.0;0
237;238;drive;219;220;8.0;8.0;0
