;event_id;type;stop-id;line-id;passengers;line-direction;line-freq-repetition
0;1;departure;14;1;0;>;1
1;2;arrival;13;1;60;>;1
2;3;departure;13;1;0;>;1
3;4;arrival;11;1;205;>;1
4;5;departure;11;1;0;>;1
5;6;arrival;10;1;845;>;1
6;7;departure;10;1;0;>;1
7;8;arrival;8;1;1545;>;1
8;9;departure;8;1;0;>;1
9;10;arrival;6;1;1135;>;1
10;11;departure;6;1;0;<;1
11;12;arrival;8;1;1135;<;1
12;13;departure;8;1;0;<;1
13;14;arrival;10;1;1545;<;1
14;15;departure;10;1;0;<;1
15;16;arrival;11;1;845;<;1
16;17;departure;11;1;0;<;1
17;18;arrival;13;1;205;<;1
18;19;departure;13;1;0;<;1
19;20;arrival;14;1;60;<;1
20;21;departure;12;3;0;>;1
21;22;arrival;11;3;405;>;1
22;23;departure;11;3;0;>;1
23;24;arrival;10;3;320;>;1
24;25;departure;10;3;0;>;1
25;26;arrival;8;3;440;>;1
26;27;departure;8;3;0;>;1
27;28;arrival;6;3;525;>;1
28;29;departure;6;3;0;>;1
29;30;arrival;4;3;795;>;1
30;31;departure;12;3;0;>;2
31;32;arrival;11;3;0;>;2
32;33;departure;11;3;0;>;2
33;34;arrival;10;3;0;>;2
34;35;departure;10;3;0;>;2
35;36;arrival;8;3;0;>;2
36;37;departure;8;3;0;>;2
37;38;arrival;6;3;0;>;2
38;39;departure;6;3;0;>;2
39;40;arrival;4;3;0;>;2
40;41;departure;4;3;0;<;1
41;42;arrival;6;3;795;<;1
42;43;departure;6;3;0;<;1
43;44;arrival;8;3;525;<;1
44;45;departure;8;3;0;<;1
45;46;arrival;10;3;440;<;1
46;47;departure;10;3;0;<;1
47;48;arrival;11;3;320;<;1
48;49;departure;11;3;0;<;1
49;50;arrival;12;3;405;<;1
50;51;departure;4;3;0;<;2
51;52;arrival;6;3;0;<;2
52;53;departure;6;3;0;<;2
53;54;arrival;8;3;0;<;2
54;55;departure;8;3;0;<;2
55;56;arrival;10;3;0;<;2
56;57;departure;10;3;0;<;2
57;58;arrival;11;3;0;<;2
58;59;departure;11;3;0;<;2
59;60;arrival;12;3;0;<;2
60;61;departure;14;5;0;>;1
61;62;arrival;10;5;235;>;1
62;63;departure;10;5;0;>;1
63;64;arrival;7;5;630;>;1
64;65;departure;15;5;0;>;1
65;66;arrival;7;5;395;>;1
66;67;departure;15;5;0;>;1
67;68;arrival;6;5;120;>;1
68;69;departure;8;5;0;>;1
69;70;arrival;6;5;0;>;1
70;71;departure;6;5;0;<;1
71;72;arrival;8;5;0;<;1
72;73;departure;6;5;0;<;1
73;74;arrival;15;5;220;<;1
74;75;departure;7;5;0;<;1
75;76;arrival;15;5;495;<;1
76;77;departure;7;5;0;<;1
77;78;arrival;10;5;630;<;1
78;79;departure;10;5;0;<;1
79;80;arrival;14;5;235;<;1
80;81;departure;13;8;0;>;1
81;82;arrival;10;8;580;>;1
82;83;departure;10;8;0;>;1
83;84;arrival;7;8;10;>;1
84;85;departure;15;8;0;>;1
85;86;arrival;7;8;240;>;1
86;87;departure;15;8;0;>;1
87;88;arrival;6;8;175;>;1
88;89;departure;8;8;0;>;1
89;90;arrival;6;8;0;>;1
90;91;departure;13;8;0;>;2
91;92;arrival;10;8;0;>;2
92;93;departure;10;8;0;>;2
93;94;arrival;7;8;0;>;2
94;95;departure;15;8;0;>;2
95;96;arrival;7;8;0;>;2
96;97;departure;15;8;0;>;2
