;event_id;type;stop-id;line-id;passengers;line-direction;line-freq-repetition
0;1;departure;3;8;0;>;1
1;2;arrival;1;8;200;>;1
2;3;departure;4;8;0;>;1
3;4;arrival;3;8;190;>;1
4;5;departure;5;8;0;>;1
5;6;arrival;4;8;100;>;1
6;7;departure;6;8;0;>;1
7;8;arrival;5;8;590;>;1
8;9;departure;7;8;0;>;1
9;10;arrival;6;8;181;>;1
10;11;departure;3;8;0;>;2
11;12;arrival;1;8;0;>;2
12;13;departure;4;8;0;>;2
13;14;arrival;3;8;0;>;2
14;15;departure;5;8;0;>;2
15;16;arrival;4;8;0;>;2
16;17;departure;6;8;0;>;2
17;18;arrival;5;8;0;>;2
18;19;departure;7;8;0;>;2
19;20;arrival;6;8;0;>;2
20;21;departure;3;8;0;>;3
21;22;arrival;1;8;0;>;3
22;23;departure;4;8;0;>;3
23;24;arrival;3;8;0;>;3
24;25;departure;5;8;0;>;3
25;26;arrival;4;8;0;>;3
26;27;departure;6;8;0;>;3
27;28;arrival;5;8;0;>;3
28;29;departure;7;8;0;>;3
29;30;arrival;6;8;0;>;3
30;31;departure;6;8;0;<;1
31;32;arrival;7;8;181;<;1
32;33;departure;5;8;0;<;1
33;34;arrival;6;8;440;<;1
34;35;departure;4;8;0;<;1
35;36;arrival;5;8;100;<;1
36;37;departure;3;8;0;<;1
37;38;arrival;4;8;40;<;1
38;39;departure;1;8;0;<;1
39;40;arrival;3;8;200;<;1
40;41;departure;6;8;0;<;2
41;42;arrival;7;8;0;<;2
42;43;departure;5;8;0;<;2
43;44;arrival;6;8;0;<;2
44;45;departure;4;8;0;<;2
45;46;arrival;5;8;0;<;2
46;47;departure;3;8;0;<;2
47;48;arrival;4;8;0;<;2
48;49;departure;1;8;0;<;2
49;50;arrival;3;8;0;<;2
50;51;departure;6;8;0;<;3
51;52;arrival;7;8;0;<;3
52;53;departure;5;8;0;<;3
53;54;arrival;6;8;0;<;3
54;55;departure;4;8;0;<;3
55;56;arrival;5;8;0;<;3
56;57;departure;3;8;0;<;3
57;58;arrival;4;8;0;<;3
58;59;departure;1;8;0;<;3
59;60;arrival;3;8;0;<;3
60;61;departure;3;2;0;>;1
61;62;arrival;2;2;151;>;1
62;63;departure;6;2;0;>;1
63;64;arrival;3;2;430;>;1
64;65;departure;8;2;0;>;1
65;66;arrival;6;2;160;>;1
66;67;departure;3;2;0;>;2
67;68;arrival;2;2;0;>;2
68;69;departure;6;2;0;>;2
69;70;arrival;3;2;0;>;2
70;71;departure;8;2;0;>;2
71;72;arrival;6;2;0;>;2
72;73;departure;3;2;0;>;3
73;74;arrival;2;2;0;>;3
74;75;departure;6;2;0;>;3
75;76;arrival;3;2;0;>;3
76;77;departure;8;2;0;>;3
77;78;arrival;6;2;0;>;3
78;79;departure;6;2;0;<;1
79;80;arrival;8;2;160;<;1
80;81;departure;3;2;0;<;1
81;82;arrival;6;2;480;<;1
82;83;departure;2;2;0;<;1
