;event_id;time
0;1;4.0
1;2;9.0
2;3;10.0
3;4;14.0
4;5;15.0
5;6;18.0
6;7;19.0
7;8;21.0
8;9;22.0
9;10;26.0
10;11;24.0
11;12;29.0
12;13;30.0
13;14;34.0
14;15;35.0
15;16;38.0
16;17;39.0
17;18;41.0
18;19;42.0
19;20;46.0
20;21;44.0
21;22;49.0
22;23;50.0
23;24;54.0
24;25;55.0
25;26;58.0
26;27;59.0
27;28;1.0
28;29;2.0
29;30;6.0
30;31;42.0
31;32;46.0
32;33;47.0
33;34;49.0
34;35;50.0
35;36;53.0
36;37;54.0
37;38;58.0
38;39;59.0
39;40;4.0
40;41;2.0
41;42;6.0
42;43;7.0
43;44;9.0
44;45;10.0
45;46;13.0
46;47;14.0
47;48;18.0
48;49;19.0
49;50;24.0
50;51;22.0
51;52;26.0
52;53;27.0
53;54;29.0
54;55;30.0
55;56;33.0
56;57;34.0
57;58;38.0
58;59;39.0
59;60;44.0
60;61;56.0
61;62;59.0
62;63;0.0
63;64;1.0
64;65;2.0
65;66;8.0
66;67;16.0
67;68;19.0
68;69;20.0
69;70;21.0
70;71;22.0
71;72;28.0
72;73;36.0
73;74;39.0
74;75;40.0
75;76;41.0
76;77;42.0
77;78;48.0
78;79;0.0
79;80;6.0
80;81;7.0
81;82;8.0
82;83;9.0
83;84;12.0
84;85;20.0
85;86;26.0
86;87;27.0
87;88;28.0
88;89;29.0
89;90;32.0
90;91;40.0
91;92;46.0
92;93;47.0
93;94;48.0
94;95;49.0
95;96;52.0
96;97;20.0
97;98;24.0
98;99;25.0
99;100;28.0
100;101;29.0
101;102;31.0
102;103;37.0
103;104;39.0
104;105;40.0
105;106;43.0
106;107;44.0
107;108;48.0
108;109;52.0
109;110;53.0
110;111;54.0
111;112;56.0
112;113;0.0
113;114;1.0
114;115;2.0
115;116;4.0
116;117;8.0
117;118;9.0
118;119;10.0
119;120;12.0
120;121;16.0
121;122;17.0
122;123;18.0
123;124;20.0
124;125;24.0
125;126;25.0
126;127;26.0
127;128;28.0
128;129;32.0
129;130;33.0
130;131;34.0
131;132;36.0
132;133;40.0
133;134;41.0
134;135;42.0
135;136;44.0
136;137;12.0
137;138;14.0
138;139;15.0
139;140;16.0
140;141;20.0
141;142;22.0
142;143;23.0
143;144;24.0
144;145;28.0
145;146;30.0
146;147;31.0
147;148;32.0
148;149;36.0
149;150;38.0
150;151;39.0
151;152;40.0
152;153;44.0
153;154;46.0
154;155;47.0
155;156;48.0
156;157;52.0
157;158;54.0
158;159;55.0
159;160;56.0
160;161;0.0
161;162;2.0
162;163;3.0
163;164;4.0
164;165;4.0
165;166;7.0
166;167;8.0
167;168;12.0
168;169;56.0
169;170;0.0
170;171;1.0
171;172;4.0
