;event_id;time
0;1;2.0
1;2;12.0
2;3;13.0
3;4;18.0
4;5;19.0
5;6;27.0
6;7;28.0
7;8;30.0
8;9;31.0
9;10;35.0
10;11;32.0
11;12;42.0
12;13;43.0
13;14;48.0
14;15;49.0
15;16;57.0
16;17;58.0
17;18;0.0
18;19;1.0
19;20;5.0
20;21;16.0
21;22;20.0
22;23;21.0
23;24;23.0
24;25;24.0
25;26;32.0
26;27;33.0
27;28;38.0
28;29;39.0
29;30;49.0
30;31;46.0
31;32;50.0
32;33;51.0
33;34;53.0
34;35;54.0
35;36;2.0
36;37;3.0
37;38;8.0
38;39;9.0
39;40;19.0
40;41;33.0
41;42;41.0
42;43;42.0
43;44;49.0
44;45;50.0
45;46;52.0
46;47;53.0
47;48;56.0
48;49;57.0
49;50;59.0
50;51;52.0
51;52;54.0
52;53;55.0
53;54;58.0
54;55;59.0
55;56;1.0
56;57;2.0
57;58;9.0
58;59;10.0
59;60;18.0
60;61;36.0
61;62;46.0
62;63;47.0
63;64;55.0
64;65;56.0
65;66;58.0
66;67;59.0
67;68;2.0
68;69;3.0
69;70;5.0
70;71;46.0
71;72;48.0
72;73;49.0
73;74;52.0
74;75;53.0
75;76;55.0
76;77;56.0
77;78;4.0
78;79;5.0
79;80;15.0
80;81;41.0
81;82;51.0
82;83;52.0
83;84;59.0
84;85;-0.0
85;86;2.0
86;87;3.0
87;88;6.0
88;89;7.0
89;90;9.0
90;91;53.0
91;92;55.0
92;93;56.0
93;94;59.0
94;95;-0.0
95;96;2.0
96;97;3.0
97;98;10.0
98;99;11.0
99;100;21.0
100;101;48.0
101;102;56.0
102;103;57.0
103;104;0.0
104;105;1.0
105;106;4.0
106;107;5.0
107;108;7.0
108;109;8.0
109;110;16.0
110;111;35.0
111;112;43.0
112;113;44.0
113;114;46.0
114;115;47.0
115;116;50.0
116;117;51.0
117;118;54.0
118;119;55.0
119;120;3.0
120;121;59.0
121;122;1.0
122;123;2.0
123;124;10.0
124;125;11.0
125;126;16.0
126;127;17.0
127;128;22.0
128;129;23.0
129;130;25.0
130;131;26.0
131;132;28.0
132;133;29.0
133;134;34.0
134;135;35.0
135;136;40.0
136;137;41.0
137;138;49.0
138;139;50.0
139;140;52.0
140;141;23.0
141;142;31.0
142;143;32.0
143;144;34.0
144;145;35.0
145;146;39.0
146;147;40.0
147;148;43.0
148;149;44.0
149;150;52.0
150;151;59.0
151;152;7.0
152;153;8.0
153;154;11.0
154;155;12.0
155;156;16.0
156;157;17.0
157;158;19.0
158;159;20.0
159;160;28.0
160;161;48.0
161;162;56.0
162;163;57.0
163;164;59.0
164;165;-0.0
165;166;3.0
166;167;4.0
167;168;6.0
168;169;7.0
169;170;15.0
170;171;48.0
171;172;56.0
172;173;57.0
173;174;59.0
174;175;-0.0
175;176;3.0
176;177;4.0
177;178;6.0
178;179;7.0
179;180;15.0
180;181;27.0
181;182;37.0
182;183;38.0
183;184;42.0
184;185;43.0
185;186;49.0
186;187;50.0
187;188;52.0
188;189;53.0
189;190;56.0
190;191;55.0
191;192;58.0
192;193;59.0
193;194;1.0
194;195;2.0
195;196;8.0
196;197;9.0
197;198;13.0
198;199;14.0
199;200;24.0
