;event_id;time
0;1;12.0
1;2;15.0
2;3;16.0
3;4;17.0
4;5;18.0
5;6;24.0
6;7;27.0
7;8;30.0
8;9;31.0
9;10;32.0
10;11;33.0
11;12;39.0
12;13;42.0
13;14;45.0
14;15;46.0
15;16;47.0
16;17;48.0
17;18;54.0
18;19;57.0
19;20;0.0
20;21;1.0
21;22;2.0
22;23;3.0
23;24;9.0
24;25;22.0
25;26;28.0
26;27;29.0
27;28;30.0
28;29;31.0
29;30;34.0
30;31;37.0
31;32;43.0
32;33;44.0
33;34;45.0
34;35;46.0
35;36;49.0
36;37;52.0
37;38;58.0
38;39;59.0
39;40;-0.0
40;41;1.0
41;42;4.0
42;43;7.0
43;44;13.0
44;45;14.0
45;46;15.0
46;47;16.0
47;48;19.0
48;49;40.0
49;50;42.0
50;51;-0.0
51;52;2.0
52;53;20.0
53;54;22.0
54;55;40.0
55;56;42.0
56;57;-0.0
57;58;2.0
58;59;20.0
59;60;22.0
60;61;28.0
61;62;29.0
62;63;30.0
63;64;32.0
64;65;48.0
65;66;49.0
66;67;50.0
67;68;52.0
68;69;8.0
69;70;9.0
70;71;10.0
71;72;12.0
72;73;44.0
73;74;46.0
74;75;47.0
75;76;48.0
76;77;4.0
77;78;6.0
78;79;7.0
79;80;8.0
80;81;24.0
81;82;26.0
82;83;27.0
83;84;28.0
84;85;56.0
85;86;59.0
86;87;-0.0
87;88;2.0
88;89;3.0
89;90;4.0
90;91;58.0
91;92;59.0
92;93;-0.0
93;94;2.0
94;95;3.0
95;96;6.0
96;97;8.0
97;98;13.0
98;99;14.0
99;100;18.0
100;101;19.0
101;102;22.0
102;103;23.0
103;104;25.0
104;105;26.0
105;106;30.0
106;107;28.0
107;108;33.0
108;109;34.0
109;110;38.0
110;111;39.0
111;112;42.0
112;113;43.0
113;114;45.0
114;115;46.0
115;116;50.0
116;117;48.0
117;118;53.0
118;119;54.0
119;120;58.0
120;121;59.0
121;122;2.0
122;123;3.0
123;124;5.0
124;125;6.0
125;126;10.0
126;127;56.0
127;128;-0.0
128;129;1.0
129;130;3.0
130;131;4.0
131;132;7.0
132;133;8.0
133;134;12.0
134;135;13.0
135;136;18.0
136;137;16.0
137;138;20.0
138;139;21.0
139;140;23.0
140;141;24.0
141;142;27.0
142;143;28.0
143;144;32.0
144;145;33.0
145;146;38.0
146;147;36.0
147;148;40.0
148;149;41.0
149;150;43.0
150;151;44.0
151;152;47.0
152;153;48.0
153;154;52.0
154;155;53.0
155;156;58.0
